昵称,点赞数,时间,评论
8大皆空,1,2024/7/15 12:04,出交通事故谁来赔
魔法甜心,1,2024/7/15 12:04,可以用无人驾驶，但是要互利共赢[暗中观察]
逐梦者,1,2024/7/15 12:04,时代在进步，方便人民出行，全力支持
华仔,1,2024/7/15 12:03,千万人的饭碗养活个别人，利益与冲突太严重了。
SAY,1,2024/7/15 12:03,走自己的路，让别人无路可走[捂脸]
阿满,1,2024/7/15 12:03,说的太对了[赞][赞][赞]
无心者无所谓,1,2024/7/15 12:03,自己人不做，等老美来做？？？
羊村你喜哥,1,2024/7/15 12:03,不光司机师傅，已经瞄准所有的岗位了。
尹怀强,1,2024/7/15 12:03,中国老百姓还是太老实了
厦门鹭江道艺展中心08号（杰仔）,1,2024/7/15 12:02,所有的东西都要首先以人为本！如果失去人性那么还有什么意义！工！农！商！是一个国家的基础！
赋格??,1,2024/7/15 12:00,@百度，能不能利用无人驾驶技术给全国的残疾人提供一些更方便快捷的出行工具呢
淡忘卑沉,1,2024/7/15 11:58,真正的科技公司只有寥寥数个，如、华为，大疆、中兴他们这些公司不会夺别人饭碗，但是却实现了科技强国。
?戏?中?人?,1,2024/7/15 11:58,虽说科技需要进步，但如果像博主所说的话确实是有点激进了
创意之家墙艺,1,2024/7/15 11:58,司机师傅更应该拼的是服务，而不是价格低了就不去做，不接单，深有体会。[尬笑]
恬静,1,2024/7/15 11:57,点赞主播。深刻。
啊对对对,1,2024/7/15 11:57,[抠鼻]你是在搞笑？私家车数据给你做无人驾驶？给钱吗[抠鼻][抠鼻][抠鼻]隐私怎么办？
花开南下,1,2024/7/15 11:57,有待提高
阿??,1,2024/7/15 11:56,小喷子，你是阻止不了我的出现的[看][看][看]
@骏????,1,2024/7/15 11:56,人，才是一个国家的根本！
四川鱼苗成鱼养殖杨基平,1,2024/7/15 11:56,有多少人会因为担心安全不敢坐萝卜[666]
闲赋在家的隔壁老王,1,2024/7/15 11:56,曾经的共享单车，滴滴出行，是不是历历在目
青山牧虎,1,2024/7/15 11:56,危机意识[赞]！安全第一，别把生命轻易交给智能自动，科技高速发展是要为国家安全、民生、保驾护航，不是要与民生争利论为旁门左道[抱拳]。
火锅串串,1,2024/7/15 11:56,优胜劣汰，适者生存[看]
新晋小的哥,1,2024/7/15 11:55,
中山阿良,1,2024/7/15 11:55,大家在打车时不要选择无人驾驶
乾坤未定,1,2024/7/15 11:55,王传福就说过这就是资本的裹胁，你让它来云贵川跑，我让它寸步难行直接瘫痪，路窄弯急坡陡，人车混行，随时夹塞，电瓶车行人随时乱串，正常人驾驶都蒙圈，何况是死板的机器
三爷,1,2024/7/15 11:54,科技如何发展，要造福人类，八十年代，科学发明插秧机，造福人类，但丰收成果，还是百娟，这才叫科技
用户3267207320359,1,2024/7/15 11:54,要不说社会再这样下去人民就……
2021￥记忆,1,2024/7/15 11:54,@你说的很对，可谁来管管
s12345678,1,2024/7/15 11:53,无人驾驶为什么就不能作用在绿化洒水车，矿区运输车，山区拉树拉竹子这种又危险又急需的就不能往这方面开发吗？非得盯着出租车滴滴来吗？
媚妹姐,1,2024/7/15 11:52,科技再发达，人有人的活法，只是说过得好与差的问题
@O奈～,1,2024/7/15 11:52,[赞][赞][赞][赞][赞]
洋洋,1,2024/7/15 11:52,这是对普通人，没有硝烟的战争，不生小孩一后会更多
加油～涛,1,2024/7/15 11:52,没有用的，因为道路千变万化，随时可出现不可预测的危险和事情，除非路上人烟稀少而且很遵守纪律，不然就不可能普及到位，无人机还要在天空飞呢可天空没有障碍物啊
@秀儿（互粉）,1,2024/7/15 11:52,科技的发展不是为了越来越方便人嘛，提升效率，降低成本，但是现在是，提升成本降低数据，无路可走和漂亮国学着0元购嘛[捂脸]
平南县万众文具批发部,1,2024/7/15 11:52,
时光浅唱,1,2024/7/15 11:52,万恶的资本
米修,1,2024/7/15 11:51,无人警车全天巡逻多好
一板子呼四你,1,2024/7/15 11:51,现实就是，你不先抢占这个市场，外国人就先把这个市场占了。早晚都会有这件事情出现，还不如想另外的办法解决就业呢。
D153898,1,2024/7/15 11:51,不止1000万，1000万这个数据是在册的司机师傅，不在册的呢！
许你一生幸福,1,2024/7/15 11:50,一个网约车司机有可能养活的两个家庭或几个老人及家人
夜夜生哥,1,2024/7/15 11:49,无人驾驶技术先进不是它的错，错就错在被资本家用错了地方，这是加快了生态失去平衡的节奏啊
威海民宿,1,2024/7/15 11:48,不想让科技进步
时间流逝,1,2024/7/15 11:47,这个生意利润可观
东流水,1,2024/7/15 11:47,出租车公司来农村乡镇吧，萝卜快跑绝对不会跟来
用户8647925363323伴我旅行,1,2024/7/15 11:46,发展是硬道理，你能阻挡历史车轮
那年、初见,1,2024/7/15 11:46,收集数据无疑出租车是最快的
小崔.,1,2024/7/15 11:46,说来说去，请大家相信主播说的话很对，在怎么变无人汽车还是无人啥的  ，都不淘汰打工人，这是事实是无法改变的，还请大家放心上班赚钱[看][感谢]
??枫影??,1,2024/7/15 11:46,我卸载百度吧，也是我能做的，不支持萝卜车出来
黄河大坝,1,2024/7/15 11:46,时代洪流谁也拦不住[看]
达通加气块脱硫石膏,1,2024/7/15 11:45,你是懂流量和粉丝的。为ai发声不涨粉。
李先生#,1,2024/7/15 11:44,这是逼死人的节奏
清风,1,2024/7/15 11:44,[赞][赞][赞][赞][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌]
阿蛋二手车,1,2024/7/15 11:44,科技改变未来，为科技点赞
CHIMAY|裝飾設計,1,2024/7/15 11:43,国产不反应快点，那就等着列强来划分蛋糕了[抠鼻][抠鼻][抠鼻]
滴露,1,2024/7/15 11:43,被控的无人车用在百姓身上是危险的，不久无的士后坐它被困将失去多少年青人的性命？！！！清澈的[爱心]只为中国！千万别去坐资本车！[感谢][感谢][感谢]
男人不用太帅，像个爷们就行。,1,2024/7/15 11:43,中国的情况不适合自动驾驶服务。
.猪多多.,1,2024/7/15 11:41,实时证明.瞎子好起来了是会丢掉拐杖的…
953238493,1,2024/7/15 11:41,有没有一种可能，数据会被黑客攻破，来个大碰撞，安全没有什么安全可言
有尾巴的柯基,1,2024/7/15 11:40,自己决不因为几块钱去打萝卜，出不起钱就坐地铁公交，这是我个人唯一能给予的支持[九转大肠][九转大肠][比心][比心][比心][比心][玫瑰][玫瑰][玫瑰]
(☆_☆),1,2024/7/15 11:38,
低调,1,2024/7/15 11:38,大家都没工作了，只能去抢了
贵,1,2024/7/15 11:38,这是阴谋，等着看吧。百度旗下公司，收益人是谁？百度是那个国家的？？？？？中国科技，世界第一[赞][赞][赞]
...,1,2024/7/15 11:37,说得好[赞][赞][赞]
Because,1,2024/7/15 11:37,全人工智能了人干嘛去？？？？？
QNick,1,2024/7/15 11:37,三军可夺帅 人不可夺志[灵机一动]
??慧瑤,1,2024/7/15 11:34,什么都无人了，现有的人总不能不让活吧，那就记住不让人好好活，光脚不怕穿鞋的最后都别想好活
王广明,1,2024/7/15 11:34,@这样搞下去，以后更没有人生孩子
三分呵护七分爱,1,2024/7/15 11:33,我想问问我去加塞一辆无人驾驶，他能不能知道我的意图，会不会让我[捂脸]
不俗不杂,1,2024/7/15 11:33,……科学永远是向前进步的，但科学永远不能促进鲁莽的使用。否则，是人类的悲哀。
珍惜,1,2024/7/15 11:33,出租车要开启十公里2元钱，干倒无人车呀！
福乐个常福????,1,2024/7/15 11:33,未来资本技术完全垄断是多么可怕…比核可怕…
阿克苏四季花园米其林，黑鹰液体黄金轮胎,1,2024/7/15 11:31,战时萝卜快跑可以变成炸弹敢死队[偷笑][偷笑][偷笑]
可以可以。,1,2024/7/15 11:31,大不了重新来过，和平了这么久了，大脑麻木了
俗人,1,2024/7/15 11:31,如果所有人都不打萝卜 它还能生存吗？
包治百病。。。。,1,2024/7/15 11:30,以后飞机，火车，高铁，地铁，全部无人开[捂脸]
惑,1,2024/7/15 11:30,电影速度与激情里面的汽车跳楼离我们真的不远
东东嘚啵嘚,1,2024/7/15 11:30,不太理解，那以前瞪三轮的也可以说撑着一个家，那后来出租车出现，私家车变多，这些瞪三轮的有没有撑不住家做出极端反应的[捂脸]
? 罪 。,1,2024/7/15 11:29,"有个博主说是为了扩大国能自动驾驶技术和占有市场。
因为特斯拉的FSD自动驾驶技术发展了13年已经非常成熟，最近来华谈合作了。
所以才突然在武汉试点运营。
说是为了稳住国家新能源弯道超车的成果。"
齐龙祥,1,2024/7/15 11:29,电代替了柴火，是不是要找电站算账？科技改变生活[赞][赞][赞]做创造太难了
@雨过天晴,1,2024/7/15 11:28,不是淘汰网约车  好多超市夜宵摊也会受到很大影响
轻舟一叶,1,2024/7/15 11:28,将来的将来，智能化将取代人类，那还要人类干啥呢？？？
（永盛地被）东山苗场,1,2024/7/15 11:28,再这样搞下去我们这个大家小家都撑不了多久，这样会很快末落的！
宁愿丑的别致   也不愿美的雷同,1,2024/7/15 11:27,为什么不在公务车试点？
R_evo_lution,1,2024/7/15 11:27,淘汰不是正常的么
用户3833504072517,1,2024/7/15 11:27,卸载百度[666][666][666]
Vinker伟仔,1,2024/7/15 11:26,强烈支持恢复马拉火车，现在你的马没有了工作，只能上餐桌了[比心]
半糖煮意,1,2024/7/15 11:24,如果无人驾驶在斑马线没有礼让行人不知会不会扣分罚款？？？
上官羽儿,1,2024/7/15 11:23,现在不都是在换人工智能的，还没有矛盾，他管你有没有工作，会不会饿死的，
张木匠,1,2024/7/15 11:23,唉??与滴滴打车前期一个样！最后一个受伤的还是老百姓[呲牙]
.童心Q,1,2024/7/15 11:22,大家都没了工作，没了收入，最后世界会变成什么样？
核潜艇,1,2024/7/15 11:22,出了重大事故谁负责
诚搭,1,2024/7/15 11:22,半夜可以上自动驾驶。上次从机场打车，60公里收我300块钱加高速。[尬笑]
元鼎防水,1,2024/7/15 11:22,你不觉得一切都变了么？
???银爺????,1,2024/7/15 11:21,我也不反对无人驾驶…但是重庆主城区别来…重庆主城区本来就堵…萝卜来了会直接堵到怀疑人生
刘涛518518,1,2024/7/15 11:20,最后一句话不给人留条路，就是自取灭亡[发怒]
北梦木兮,1,2024/7/15 11:19,实体店已经不行了  大家都不好过了   这样下去  大家怎么活着
小可,1,2024/7/15 11:18,没工作了正好，回农村种那一亩三分地，让城里房子空得更多
听风说你哭了,1,2024/7/15 11:18,我哥不敢把自己的小命交给无人驾驶机动车
远方的诗,1,2024/7/15 11:17,比亚迪吗
不一样,1,2024/7/15 11:17,期待国家能出手啊[感谢][感谢][感谢][感谢][感谢]
HalfLife,1,2024/7/15 11:16,我把手机上的百度相关软件全部卸载了，以示态度
燕公子 （黄金搭档）,1,2024/7/15 11:16,舆论是有了，好像也改变不了什么[泣不成声]
一束阳光1,1,2024/7/15 11:16,一千万个网约车司机能带动一千万的就业与消费，一千万辆萝卜，只养肥了老板，然后老板去国外花天酒地[看]
下次再说,1,2024/7/15 11:16,你猜一猜如果师傅没饭吃了 没钱养孩子了 会出做什么事[抠鼻]
凯加特,1,2024/7/15 11:15,饭碗被破坏了，消费者也就消失了。今天是别人的饭碗，指不定哪天就轮到自己的饭碗了。建议取消股市，让资本做实业[比心]
随风漂流,1,2024/7/15 11:15,将来的智能机器人，自主行走快实现了，差一个细微的关节，自主交流也快了。。最后就差一个生成自己的想法了。。你们觉得人类危险不[酷拽]
?? 开心就好 ??,1,2024/7/15 11:14,凡事不能一概而论，有些出租车司机素质太低，绕路宰客时有发生！
野马,1,2024/7/15 11:14,北京牌照就那么容易弄到？
在下张某,1,2024/7/15 11:13,非常犀利的评论，总的来说对于我们这样的人口大国，科技的落地也需要结合国情
柴艳,1,2024/7/15 11:13,熙熙攘攘，皆为利往，高新科技，应以造福人类为本，不应该唯利是图！
辉辉,1,2024/7/15 11:13,非法营运没人管吗？
辉辉,1,2024/7/15 11:12,卸载百度从我做起
凡乐鬼才,1,2024/7/15 11:12,说的太好了[赞]以人为本
红尘多可笑,1,2024/7/15 11:11,如果黑客侵入那无人驾驶会不会成为一个定时炸弹呢？电影速度与激情就有这个画面
行路人,1,2024/7/15 11:09,发达国家的智能可以就这么落后吗[捂脸]
大师兄,1,2024/7/15 11:09,已卸载百度和百度地图
?????,1,2024/7/15 11:08,为什么无人驾驶网约车就可以上路，私家车无人驾驶就不可以呢？为什么，为什么
刘三动漫,1,2024/7/15 11:07,只要能让老百姓节约出行成本的，我都支持[赞]
@阿立,1,2024/7/15 11:06,这一千个工作岗位又得冲击其他行业 继续拉低收入
陈公子,1,2024/7/15 11:06,高端利益他们不敢动
用户6587120977634,1,2024/7/15 11:06,我被出租车司机载过、它可能不会载客人吧、也不知道。
宋仁宗,1,2024/7/15 11:06,淘汰了好啊！路上都是无人驾驶车辆就不会再有违章了，交通事故会减少80%！
黑哥,1,2024/7/15 11:04,不用担心，这只是个实验，获得目标数据以后就会取消，不要质疑政府，这是中央和马的一次合作[赞]
暗夜追风,1,2024/7/15 11:04,回农村吧l种点地，自给自足[抠鼻][抠鼻][抠鼻]
妆容,1,2024/7/15 11:03,公交不行吗，非的出租车
C0C0,1,2024/7/15 11:03,豆B的世界。这样下去，世界会大乱
金鸡独立皮卡乒,1,2024/7/15 11:01,建议人工智能无人上班技术从央国企开始试水。
奔赴山海！,1,2024/7/15 11:01,只要打车便宜就行了
??俊哥??,1,2024/7/15 10:59,不反对，只是觉得不安全，毕竟是机器，太死板
联迎雪糕批发（孝义店）,1,2024/7/15 10:59,一个人赚一千万人的生活
Kikyo,1,2024/7/15 10:58,反正我不会坐[微笑]
??为你等候,1,2024/7/15 10:58,就看国家了[捂脸]
风向标,1,2024/7/15 10:58,我是被淘汰的出租车司机（开了八年)，现在是网约车司机（开了八年)！放弃吧[捂脸]
守护??(???????)??,1,2024/7/15 10:57,以后出门带个信号屏蔽器试试萝卜会咋样
妮儿姐,1,2024/7/15 10:57,以人为本就是永续发展，人就是根基，无人的时代，一切资本，一切科技都毫无意义
疯魔录手,1,2024/7/15 10:57,优胜劣汰，总会有阵痛，不必多言，唉，以后都会这样，他的岗位是后台研发和实时监控以及问题处理，需求高端人员了，淘汰人开车的岗位
Zhang鹏,1,2024/7/15 10:53,救护车，消防车被萝卜堵住了怎么办
林到你感冒,1,2024/7/15 10:53,感觉私家车的数量更多，普及到家用车不好吗？这样更多人就不用考驾照了
＿咪斯特刘,1,2024/7/15 10:53,这么便宜便捷，应该投放在3，4线的城市中，而不是投放到人口高度密集的1线城市中
老山东早点（李总）,1,2024/7/15 10:50,你说没时间准备，这就不对了，无人驾驶技术好几年以前就已经发明出来了。只不过人们都抱有幻想，任何事在没影响到自己的时候，不会提前预防。就是无人出租车再过十年二十年上路运营，那时候人们还会说没给我们准备的时间。
玉林市晓航化妆品商贸l,1,2024/7/15 10:50,以后别生小孩！都别生活了！支持无人无人无人区[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸]
四菜,1,2024/7/15 10:50,驾驶证还用学不，驾校关门，保险怎么陪，
忒儿好喽,1,2024/7/15 10:49,警惕某黑心资本家
满天星,1,2024/7/15 10:46,支持你，主持人[赞][赞][赞]
我是一颗子弹,1,2024/7/15 10:45,这玩意，安全性我还真不太相信[泪奔]
隆广汽配,1,2024/7/15 10:45,你不瞄特斯拉就上了[捂脸][捂脸][捂脸]
建斌说茶,1,2024/7/15 10:45,1000多万出租车，3000万左右网约车，几百万卡车[捂脸]最好早日建成无人星球，我们好有时间去探索宇宙[泪奔]
陳_,1,2024/7/15 10:44,国人太多了，如果人工智能取代劳动力，我们該何去何从！
梓瑞,1,2024/7/15 10:42,卸载完成[鼓掌][鼓掌][鼓掌][鼓掌]
小八ro（早八版）,1,2024/7/15 10:42,太过激了，无人出租车啥时候说要取代有人了，市场经济自由竞争而已
二老表酸菜鱼,1,2024/7/15 10:42,我们这已经无人汽车送快递了[吐血]
遇见?,1,2024/7/15 10:41,"司机才1000万么,绝对不止"
actors,1,2024/7/15 10:40,直接人拉车不就行了，解决八个岗位
??????,1,2024/7/15 10:38,技术是好的，只是方向错了，国内私家车这么多，为真正需要的人服务不是更好吗？
周三,1,2024/7/15 10:37,大货车司机太累了怎么不用无人驾驶呢？还简单
袁Sir的财商手记,1,2024/7/15 10:37,跟条哥标上了？[看]
困困小俊???,1,2024/7/15 10:37,说的太对了[赞][赞][赞][赞][赞][赞]
兰馨惠儿,1,2024/7/15 10:36,说的很对。这么多的司机都在承担着养家这个责任，如果没有想好或者说没有更好的一种让他们转行换岗的方式之前，无人驾驶真的不要太急于表现了
祥云~爱音乐,1,2024/7/15 10:36,
湖边赏雨,1,2024/7/15 10:35,要是停电断网了，网络死角还能跑不
南休司福,1,2024/7/15 10:35,有的人说节省出行成本，如果像美团一家独大以后，随便涨价，你到底坐不坐，而且连出租车都没有的情况下[捂脸][捂脸][捂脸][捂脸]想想都可怕，
山 海,1,2024/7/15 10:33,顺势而为，大势不可改变
小崔.,1,2024/7/15 10:33,说的没毛病[赞]
小鱼歪不歪,1,2024/7/15 10:32,造福人民，而不是砸饭碗
旅行者,1,2024/7/15 10:32,何止一千万人勒
Kuhlion,1,2024/7/15 10:30,说得好
白沙羊肉汤（龙门大道店）,1,2024/7/15 10:29,我支持出租车网约车，每一位司机支撑背后一个家庭，现在人活得已经很难了，都是在水深火热中煎熬度日，
窜天猴a,1,2024/7/15 10:29,那都是钱啊，你是老板你也会这么干，巨大的利益会慢慢磨灭你仅剩的那点良知，相信我！
凝望聆听l,1,2024/7/15 10:28,东北不适合，没司机唠嗑不习惯[捂脸]
lance,1,2024/7/15 10:28,我们自己不做，马斯克也会做。多看看新闻
用户1011435057517,1,2024/7/15 10:28,说得对啊，我们从来没有反对。只是担心如果一下子上来，这全国各地这么多司机都干嘛去
海洋里的于,1,2024/7/15 10:27,前脚儿让人生孩子，后脚儿智能上市了[呲牙]别说再生孩子，就是现在上九年义务教育的孩子们以后养活自己都费劲[呲牙]
一帘悠梦,1,2024/7/15 10:25,咋办呢？好渺茫！
星空下的精彩,1,2024/7/15 10:25,这个无人驾驶，遇到110.119.120会主动让车吗？
仙道奕麟,1,2024/7/15 10:24,说句实话！还是人太多了！
美好的退休生活,1,2024/7/15 10:24,要共同富裕，不要资本集中。
??柒/拾,1,2024/7/15 10:23,其实限制投诉量，还是可以的，给人选择，想坐哪种就坐哪种。
峥峥,1,2024/7/15 10:23,支持无人驾驶！360行难道只能开出租车吗？
狙击,1,2024/7/15 10:23,二胎三胎生吧，生出来工作都不好找。
索罗炮,1,2024/7/15 10:22,作为消费者，我关心的是价格，服务，体验。同样的价格或者更低的价格我为什么不用？我钱多了么？
茶冲卡哥,1,2024/7/15 10:22,出租车走上这一步，那么我们货车也很快走上这一步了，所以我提前做出转行的准备
有情，有义。,1,2024/7/15 10:22,超越时代，超越外国，强大自己
手牵手跟我走,1,2024/7/15 10:21,感觉你着急了，你在担心什么，代替了人，哪人去干什么，没有工作吃什么等等，会动荡不安的
福星※小靓妹,1,2024/7/15 10:18,别“我们”！！！你之代表你自己！
你已陌生,1,2024/7/15 10:18,1000多万恐怕还不至！这两年网约车的不断有人加入
游戏小笨笨,1,2024/7/15 10:17,"“不怕敌人在外部，就怕
敌人在内部。不怕敌人在
内部，就怕敌人在指挥
部。不怕敌人在指挥部，
就怕敌人拍板还算数![发怒][发怒][发怒]"
设计师- 韩磊,1,2024/7/15 10:16,终于有为老百姓发声的人了[赞][赞][赞][赞][赞][赞]
长江一号,1,2024/7/15 10:16,要是无人驾驶的系统被黑客入侵，那是不是满大街都是杀人猛禽
峥峥傲骨,1,2024/7/15 10:15,每一个新生事物，背后都有一个不为人知的可怕的内幕，[捂脸]
生存不能将就,1,2024/7/15 10:15,以后那些山火救灾让资本家先上
平头哥,1,2024/7/15 10:14,网约车师傅们太不容易了，我干过，没日没夜的，还不挣钱
小贺,1,2024/7/15 10:14,家人们，我都准备回家乡种田了
海上飞鹏,1,2024/7/15 10:13,适者生存，除了出租老不喜欢 老百姓都喜欢
电脑（简单的）,1,2024/7/15 10:13,那么多智能工厂取代了更多的流水线工人，然后呢
湘北莲藕哥,1,2024/7/15 10:13,这是时代发展需要
风吹裤衩微微凉,1,2024/7/15 10:12,1000万人吃不上饭会不会乱
喜欢你,1,2024/7/15 10:12,那人去干嘛呢？
祝祝爸,1,2024/7/15 10:11,解决办法，控制投放数量，就像吃海鲜，偶尔尝鲜，不能顿顿吃吧？
Z不凡,1,2024/7/15 10:10,这么好的车企应该把名字说出来[耶]
想你,1,2024/7/15 10:09,最关键的是它要是反了，一个按键就做到了，要是我们人类能做到吗？
天空晴天,1,2024/7/15 10:09,国家和企业和个人可以大力发展无人驾驶……但是不要总是酊着看老百姓的基层岗位啊？……～可以直接取代煤矿，矿场，石油，出海，高空等等作业的无人智能机器人啊！方向是不是错了[赞]
原点,1,2024/7/15 10:08,为主播点赞！这才是我这一普通人认可的正能量！
user214935411289,1,2024/7/15 10:08,科技应该用在其他领域而不是民生[赞][赞][赞]
两只神兽ii,1,2024/7/15 10:07,三体人有没有锁死地球的科技，我不知道，但是目前来看，资本锁死了尤其中低收入人群的工作规划
Y123,1,2024/7/15 10:05,这个车企是那家？说出来，给他点赞??
西部牛郎―郑辉（肉牛繁育,1,2024/7/15 10:04,别急，慢慢的我们的饭碗都会不保的！[灵机一动][灵机一动][灵机一动]
福星高照,1,2024/7/15 10:03,说得太对了，无人驾驶技术不一定非要做岀租车才能发展吧
翌羽,1,2024/7/15 10:03,曾经看过一个国外视频，特某某被控制，一堆特某某全部集中到一起连环撞。如果被人控制了这些无人车辆会发生什么
华z,1,2024/7/15 10:02,萝卜车，到底是国有？还是外国人的？
Jeny449,1,2024/7/15 10:00,就喜欢主播，专为低层民众发声，关注民生问题，国之大纲[赞]
吉祥安康,1,2024/7/15 10:00,萝卜快跑…没有夜间加价
??端端?????,1,2024/7/15 10:00,以后就不用考驾驶本了[坏笑][坏笑][坏笑][坏笑]太好了
沐尘,1,2024/7/15 10:00,来一台给他撞一台，让这些无人车全部报废，
光爹止鼾,1,2024/7/15 10:00,让科技为人类服务不与人争饭吃
手握風雲,1,2024/7/15 9:58,把所有部门换成AI机器人，它们会公平公正，
拐弯遇到妖,1,2024/7/15 9:57,[赞]
用户3290428942768,1,2024/7/15 9:57,淘汰可以，给老百姓足够的福利！
谁伴我闯荡,1,2024/7/15 9:57,以人为本！以人为本！以人为本！
格莱美音乐陶瓷(渠县人),1,2024/7/15 9:56,无人驾驶为什么还要方向盘
wzj,1,2024/7/15 9:53,能不能去国外发展呀？
钱升,1,2024/7/15 9:53,放心吧会想办法的，如果千千万的老百姓真的无法生存就算他垄断把钱搞到手对他也不好的，有句老话大家好才是真的好
小宝哥,1,2024/7/15 9:52,科技应该是让人类更省心   而不是取而代之   都没饭吃了   还让谁去消费[捂脸]
酱油小超人,1,2024/7/15 9:52,百度不倒闭中国难崛起
blog.,1,2024/7/15 9:51,自从工人下岗开始，这是时代的进步[抱拳]
吴彦祖胜芳分祖,1,2024/7/15 9:51,营运性质的机动车，不挂车牌号！不办营运证！凭什么？ 老百姓不挂车牌不办营运证可以拉客盈利吗？
存在即合理,1,2024/7/15 9:51,
1790815431,1,2024/7/15 9:49,什么事打破了平衡都会出现问题，阴阳之道，科技发展太慢太快都不好
A1A2,1,2024/7/15 9:49,鸦片战争类似
熊氏三小姐,1,2024/7/15 9:48,这个社会要把人搞疯[捂脸][捂脸][捂脸]
无论如何平平安安,1,2024/7/15 9:48,萝卜看你视频    气翻白眼了
小小幸福,1,2024/7/15 9:47,我以后该干什么，能干什么？
红旗飘飘,1,2024/7/15 9:46,没事老家还有点地，自给自足还是可以的，就是没有什么消费能力而已。
峰回路转??,1,2024/7/15 9:45,说的好，没人反对无人驾驶，但是没有用到正确的场景
高新开发区花果山水果店,1,2024/7/15 9:44,大势所趋  就像一个挖掘机顶n个力工
灌篮boy,1,2024/7/15 9:44,没错，这么多人总要生活吧，不要赶尽杀绝哦
红心,1,2024/7/15 9:42,人民利益高于一切，以人为本，就业高于一切。
吴彦祖胜芳分祖,1,2024/7/15 9:42,营运性质的机动车，不挂车牌号！不办营运证！凭什么？ 老百姓不挂车牌不办营运证可以拉客盈利吗？
不眠之夜,1,2024/7/15 9:42,水能载舟 亦能覆舟！
相忘于江湖,1,2024/7/15 9:42,先生大义
千万家房地产（石艳）,1,2024/7/15 9:42,
白菜不是菜,1,2024/7/15 9:41,百度干过好事吗[捂脸][捂脸][捂脸]
娟儿@刘,1,2024/7/15 9:41,没有信号了咋过啊！
中烨住人集装箱,1,2024/7/15 9:40,反对无人驾驶汽车
战神9627,1,2024/7/15 9:39,智能自动化逐渐取代人力这是大势所趋
合川名汇二手车,1,2024/7/15 9:38,关键是取代出租车搞钱，其他的不搞钱！
皮儿,1,2024/7/15 9:38,给您点赞[赞]
(*^_^*)随缘(●—●),1,2024/7/15 9:38,我以前开出租，网约车出来后我就改行进厂打螺丝！我抱怨过吗，现在能到网约车了
代同学（行者DL）,1,2024/7/15 9:38,有一天都无人化了，要2要3干嘛呢，也就无人了吧
大狗熊。，,1,2024/7/15 9:37,就是有人是混蛋[奸笑]
DXL,1,2024/7/15 9:37,人家看着我们重新洗牌[捂脸]
木子李,1,2024/7/15 9:36,1000个司机养活1000个家庭，1000个萝卜只能养活一个老板[酷拽]，老板赚到的钱转到国外
一飞,1,2024/7/15 9:35,不用驾驶证了，违章，罚款，扣谁的分
元褀,1,2024/7/15 9:33,人呢，站在最高说什么都是对的
????乐安,1,2024/7/15 9:32,你猜为什么不先在公共交通，比如公交上（分批，部分）应用，是因为挣得少吗[捂脸]
用户292260529345难得糊涂,1,2024/7/15 9:32,干嘛不是公务車先试行？
废品回收张凯,1,2024/7/15 9:32,都不生孩子不就好了
问佛,1,2024/7/15 9:32,农民进城了到底能干啥？
转运,1,2024/7/15 9:32,这个无人驾驶肯定不行
24小时看你,1,2024/7/15 9:31,大面积大数量投入 是最快锻炼人工智能的办法
韩十二摄影,1,2024/7/15 9:30,会不会被坏人利用[看]
不语不二,1,2024/7/15 9:29,无人驾驶可以有，但需要控制规模，占有一定比例的市场规模，倒逼出租车、网约车提高服务质量，但不能全部铺开。
用户2283496807776,1,2024/7/15 9:28,谁知道百度的产品都有什么，拒绝百度从我做起
～开心就好～,1,2024/7/15 9:28,主播说的对。
聊城市东昌府区文文服装店,1,2024/7/15 9:28,国家的进步 不允许老百姓滴反驳 是这样吧
涛子,1,2024/7/15 9:27,也可以把长途大货车和长途客运车换成无人驾驶！这样安全就降低了
洋有道,1,2024/7/15 9:25,有一个问题，在高速上面无人驾驶，突然之间前面遮挡物，他是马上停车还是绕道呢？后边的车来得及踩刹车吗？
三月春风,1,2024/7/15 9:25,看看共享单车就是无人驾驶的明天
赫阳妈咪,1,2024/7/15 9:25,磊哥说的对
用户6966705335842,1,2024/7/15 9:24,支持高科技
郭晓军,1,2024/7/15 9:24,去过百度不干，那么滴滴干呢，后果是什么想过没有，所以要学会接受新鲜事物。一个时代过去就会有另一个时代到来就会有新的机会
用户8333887311464,1,2024/7/15 9:24,我们不是实验品，安全性靠我们人口多路况复杂测试出来的！不接受！
KUMA,1,2024/7/15 9:24,所以你的观点还不是别发展太快吗[微笑]都不知道你想说什么
陈大,1,2024/7/15 9:23,精辟
bggfvhgfvh,1,2024/7/15 9:21,一个人赚钱就是时代趋势，大家有工作养家就是固步自封[捂脸]
保明,1,2024/7/15 9:21,说太好了[赞][赞][赞][赞][赞]
南城,1,2024/7/15 9:19,如果有一部分出租车司机态度好点，上车打开空调，不要故意绕路，我觉得还是会有很多消费者支持的
盲逸·盲人按摩,1,2024/7/15 9:19,如果这个技术能让我爸的眼睛看到所有新鲜的事物   是我唯一的愿望了
陕西昊泽煤炭,1,2024/7/15 9:19,无人能阻挡历史进步的车轮
